#,Name,HP,Attack,Defense,Sp. Atk,Sp. Def,Speed
152,Chikorita,45,49,65,49,65,45
153,Bayleef,60,62,80,63,80,60
154,Meganium,80,82,100,83,100,80
155,Cyndaquil,39,52,43,60,50,65
156,Quilava,58,64,58,80,65,80
157,Typhlosion,78,84,78,109,85,100
158,Totodile,50,65,64,44,48,43
159,Croconaw,65,80,80,59,63,58
160,Feraligatr,85,105,100,79,83,78
161,Sentret,35,46,34,35,45,20
162,Furret,85,76,64,45,55,90
163,Hoothoot,60,30,30,36,56,50
164,Noctowl,100,50,50,76,96,70
165,Ledyba,40,20,30,40,80,55
166,Ledian,55,35,50,55,110,85
167,Spinarak,40,60,40,40,40,30
168,Ariados,70,90,70,60,60,40
169,Crobat,85,90,80,70,80,130
170,Chinchou,75,38,38,56,56,67
171,Lanturn,125,58,58,76,76,67
172,Pichu,20,40,15,35,35,60
173,Cleffa,50,25,28,45,55,15
174,Igglybuff,90,30,15,40,20,15
175,Togepi,35,20,65,40,65,20
176,Togetic,55,40,85,80,105,40
177,Natu,40,50,45,70,45,70
178,Xatu,65,75,70,95,70,95
179,Mareep,55,40,40,65,45,35
180,Flaaffy,70,55,55,80,60,45
181,Ampharos,90,75,75,115,90,55
182,Bellossom,75,80,85,90,100,50
183,Marill,70,20,50,20,50,40
184,Azumarill,100,50,80,50,80,50
185,Sudowoodo,70,100,115,30,65,30
186,Politoed,90,75,75,90,100,70
187,Hoppip,35,35,40,35,55,50
188,Skiploom,55,45,50,45,65,80
189,Jumpluff,75,55,70,55,85,110
190,Aipom,55,70,55,40,55,85
191,Sunkern,30,30,30,30,30,30
192,Sunflora,75,75,55,105,85,30
193,Yanma,65,65,45,75,45,95
194,Wooper,55,45,45,25,25,15
195,Quagsire,95,85,85,65,65,35
196,Espeon,65,65,60,130,95,110
197,Umbreon,95,65,110,60,130,65
198,Murkrow,60,85,42,85,42,91
199,Slowking,95,75,80,100,110,30
200,Misdreavus,60,60,60,85,85,85
201,Unown,48,72,48,72,48,48
202,Wobbuffet,190,33,58,33,58,33
203,Girafarig,70,80,65,90,65,85
204,Pineco,50,65,90,35,35,15
205,Forretress,75,90,140,60,60,40
206,Dunsparce,100,70,70,65,65,45
207,Gligar,65,75,105,35,65,85
208,Steelix,75,85,200,55,65,30
209,Snubbull,60,80,50,40,40,30
210,Granbull,90,120,75,60,60,45
211,Qwilfish,65,95,75,55,55,85
212,Scizor,70,130,100,55,80,65
213,Shuckle,20,10,230,10,230,5
214,Heracross,80,125,75,40,95,85
215,Sneasel,55,95,55,35,75,115
216,Teddiursa,60,80,50,50,50,40
217,Ursaring,90,130,75,75,75,55
218,Slugma,40,40,40,70,40,20
219,Magcargo,50,50,120,80,80,30
220,Swinub,50,50,40,30,30,50
221,Piloswine,100,100,80,60,60,50
222,Corsola,55,55,85,65,85,35
223,Remoraid,35,65,35,65,35,65
224,Octillery,75,105,75,105,75,45
225,Delibird,45,55,45,65,45,75
226,Mantine,65,40,70,80,140,70
227,Skarmory,65,80,140,40,70,70
228,Houndour,45,60,30,80,50,65
229,Houndoom,75,90,50,110,80,95
230,Kingdra,75,95,95,95,95,85
231,Phanpy,90,60,60,40,40,40
232,Donphan,90,120,120,60,60,50
233,Porygon2,85,80,90,105,95,60
234,Stantler,73,95,62,85,65,85
235,Smeargle,55,20,35,20,45,75
236,Tyrogue,35,35,35,35,35,35
237,Hitmontop,50,95,95,35,110,70
238,Smoochum,45,30,15,85,65,65
239,Elekid,45,63,37,65,55,95
240,Magby,45,75,37,70,55,83
241,Miltank,95,80,105,40,70,100
242,Blissey,255,10,10,75,135,55
243,Raikou,90,85,75,115,100,115
244,Entei,115,115,85,90,75,100
245,Suicune,100,75,115,90,115,85
246,Larvitar,50,64,50,45,50,41
247,Pupitar,70,84,70,65,70,51
248,Tyranitar,100,134,110,95,100,61
249,Lugia,106,90,130,90,154,110
250,Ho-Oh,106,130,90,110,154,90
251,Celebi,100,100,100,100,100,100